Scheme/Loan Name,Sector,Interest Rate,Tenure,Key Features
Livestock Insurance Scheme,Agriculture,Varies by policy,Varies,"Insurance cover for indigenous and cross-bred cattle, buffalo, and other livestock."
Solar Pumping Scheme for Irrigation,Renewable Energy,Subsidized by government,25 years (solar),Subsidized solar pumps for farmers to reduce dependency on diesel and improve irrigation facilities.
Interest Subvention Scheme for Farmers,Agriculture,7% (subsidized),1 year,Offers interest subvention for short-term crop loans up to ?3 lakh for farmers.
Pradhan Mantri Awas Yojana (Urban) (PMAY-U),Housing,6.5% (subsidy),15-20 years,"Interest subsidy on home loans for EWS, LIG, and MIG to build affordable homes in urban areas."
Stand-Up India Scheme,Entrepreneurship,8.85% (approx.),7 years,Supports SC/ST and women entrepreneurs by providing loans for setting up businesses.
MUDRA Loan under PMMY,MSMEs,7.30% to 9.65%,Up to 5 years,"Provides funding to non-corporate small businesses, categorized under Shishu, Kishor, and Tarun loans."
Atal Pension Yojana (APY),Agriculture,2% (Kharif crops),Seasonal,Crop insurance scheme providing cover for crop losses due to natural calamities.
National Savings Certificate (NSC),Pension,Market-linked (investment),Lifetime (post-retirement),"Pension scheme for unorganized sector workers, providing fixed pension amounts ranging from ?1,000 to ?5,000."
Public Provident Fund (PPF),Financial Inclusion,0% (no interest),N/A,"Basic savings accounts with no minimum balance; overdraft facility of up to ?10,000."
Kisan Vikas Patra (KVP),Investment/Savings,7.70%,5 years,Fixed income investment scheme offering tax benefits under Section 80C of the Income Tax Act.
Sukanya Samriddhi Yojana (SSY),Savings/Retirement,7.10%,15 years,Popular long-term savings scheme with tax-free interest and capital protection.
Varishtha Pension Bima Yojana (VPBY),Investment/Savings,7.50%,124 months,"Doubles the invested amount in approximately 10 years, available at post offices across India."
Solar Rooftop Subsidy Scheme,Girl Child Development,8%,Until age 21,"Long-term savings scheme for the girl child, with tax benefits and high interest."
Pradhan Mantri Kisan Maandhan Yojana (PMKMY),Pension,7.40%,10 years,"Pension scheme for senior citizens, providing assured returns and monthly pension payouts."
Prime Minister's Employment Generation Programme (PMEGP),Agriculture/Livestock,Varies by policy,Varies,Provides insurance cover for cattle and livestock against disease or death.
Swavalamban Yojana,Housing,6.5% (subsidized),20 years,Interest subsidy for home loans to economically weaker sections (EWS) and low-income groups (LIG).
Udaan Scheme,Accident Insurance,?12 per year (premium),1 year (renewable),Offers ?2 lakh accidental death and disability cover at an affordable premium for individuals aged 18-70.
Vidyalakshmi Loan Scheme,Life Insurance,?330 per year (premium),1 year (renewable),Life insurance cover of ?2 lakh for individuals aged 18-50.
Solar Power Subsidy Scheme,Pension,8% (fixed),10 years,Pension scheme for senior citizens with a guaranteed pension for 10 years.
National Handicapped Finance and Development Corporation (NHFDC),Pension/Retirement,Market-linked (investment),Until retirement,Government-backed retirement scheme with tax benefits and flexible investment options.
Sovereign Gold Bond Scheme (SGB),Agriculture,N/A,N/A,"Provides direct income support of ?6,000 annually to small and marginal farmers."
Pradhan Mantri Shram Yogi Maan-Dhan (PMSYM),Renewable Energy,N/A,25 years,Subsidy for installing solar panels on rooftops for residential and commercial buildings.
Startup India Scheme,Financial Inclusion,Market-linked (gold returns),1 to 15 years,Earn interest on deposited gold; mobilize idle gold for productive purposes.
Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),Pension (Agriculture),N/A,Lifetime (post-retirement),"Provides ?3,000 monthly pension to small and marginal farmers after the age of 60."
Paramparagat Krishi Vikas Yojana (PKVY),MSME/Entrepreneurship,9.75% - 11.25%,3-7 years,Subsidy-linked scheme for creating self-employment opportunities by setting up new micro-enterprises.
Soil Health Card Scheme,Pension/Retirement,Market-linked,Until retirement,"Pension scheme aimed at unorganized sector workers, offering government contributions to the pension account."
National Agriculture Market (eNAM),Education,N/A,3 years,"Aims to provide free, specialized coaching and financial assistance to girls for engineering entrance exams."
Rashtriya Uchchatar Shiksha Abhiyan (RUSA),Education,7.5% - 10%,Up to 15 years,Provides financial assistance for higher education with multiple repayment options and interest rate subsidies.
Skill India Mission,Renewable Energy,N/A,25 years (solar panel life),Financial support for installing solar power systems with the objective of promoting clean and sustainable energy.
Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),Social Welfare,5%-8%,10 years,Provides concessional loans to differently-abled persons for self-employment ventures.
Pradhan Mantri Gramin Awaas Yojana (PMGAY),Financial Inclusion,2.5% per annum (gold-linked),8 years,"Allows individuals to invest in gold bonds instead of physical gold, with annual interest and tax benefits."
Ujala Scheme,Pension (Unorganized Sector),N/A,Until retirement,"Provides a pension of ?3,000 per month for unorganized sector workers after the age of 60."
Swachh Bharat Mission (SBM),Entrepreneurship,Varies (bank rates),Up to 10 years,"Provides funding and regulatory support to startups in India, encouraging innovation and entrepreneurship."
Pradhan Mantri Matsya Sampada Yojana (PMMSY),MSME,7.5% - 8.5%,Up to 5 years,"Provides credit guarantees for loans to small and micro-enterprises, promoting entrepreneurship."
Digital India Programme,Agriculture,Grant-based,3 years,Promotes organic farming by providing financial assistance for certification and organic input costs.
Ayushman Bharat (Pradhan Mantri Jan Arogya Yojana),Agriculture,Subsidy on testing costs,2 years (renewal),Provides soil health cards to farmers with detailed analysis of soil quality to guide crop selection.
Pradhan Mantri Krishi Sinchai Yojana (PMKSY),Agriculture,Platform-based,Continuous,"Online trading platform for agricultural commodities, enhancing market access and transparency for farmers."
National Handloom Development Programme (NHDP),Education,Grant-based,Project duration,Supports infrastructure development in state universities and higher education institutions across states.
Mission for Integrated Development of Horticulture,Skill Development,Free for eligible courses,1 month to 1 year,Offers vocational training in various sectors to increase employability and bridge skill gaps in industries.
Atal Bhujal Yojana (ABY),Rural Development/Employment,Free skill training,6 months to 1 year,"Provides skill training to rural youth, particularly from BPL families, to improve employment opportunities."
Pradhan Mantri Rojgar Protsahan Yojana (PMRPY),Housing,Grant-based,3-5 years,Financial assistance for constructing pucca houses in rural areas to improve living standards.
Venture Capital Assistance Scheme (VCAS),Energy/Social Welfare,30-50% subsidized price,Ongoing,Offers LED bulbs at subsidized rates to reduce energy consumption and lower electricity bills.
Dairy Entrepreneurship Development Scheme,Sanitation,Grant-based,Until 2025,Aims to improve sanitation by funding the construction of toilets and waste management initiatives nationwide.
Micro Units Development and Refinance Agency (MUDRA),Fisheries,6-8% on loans,3-10 years,Provides financial support for the modernization of fishery infrastructure and enhancement of productivity.
National Livestock Mission,Digital Empowerment,Project-based grants,Ongoing,Aims to improve digital infrastructure and increase digital literacy across India.
Green India Mission,Health Insurance,Free for beneficiaries,1 year (renewable),Provides health insurance coverage of ?5 lakh per family per year for secondary and tertiary healthcare.
Aajeevika – National Rural Livelihoods Mission (NRLM),Agriculture/Irrigation,Subsidy-based,5 years,Supports efficient irrigation systems to increase agricultural productivity and promote water conservation.
Rashtriya Krishi Vikas Yojana (RKVY),Handloom Sector,Subsidized working capital,3-5 years,"Provides financial assistance for technology upgrades, marketing support, and skill enhancement for weavers."
Credit Enhancement Guarantee Scheme for SC,Horticulture,Subsidized credit,5 years,Promotes horticulture by providing funds for infrastructure development and promoting best practices.
Support for International Patent Protection in E&IT,Water Resources,Project-based grants,5 years,Aims to improve groundwater management in water-stressed areas by promoting community-led conservation efforts.
Deendayal Antyodaya Yojana,Entrepreneurship,8.50%,7 years,"Provides loans to SC/ST and women entrepreneurs for starting new businesses, from ?10 lakh to ?1 crore."
Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),MSME/Entrepreneurship,9.5-12%,3-7 years,Offers subsidies on loans to create self-employment opportunities by setting up micro-enterprises.
Biotechnology Industry Research Assistance Council (BIRAC),Employment,N/A,3 years,Provides employer support to create new jobs by covering employee provident fund contributions.
Pradhan Mantri Mahila Shakti Kendra,Agriculture/Entrepreneurship,8-10% (for loans),4-7 years,Provides financial support for agribusiness entrepreneurs in initial stages to cover capital requirements.
Pradhan Mantri Khanij Kshetra Kalyan Yojana (PMKKKY),Dairy Farming,Subsidy-based,3-5 years,"Financial assistance for dairy farming, including animal purchase, feed management, and infrastructure setup."
Atal Tinkering Labs (ATL),MSMEs,7.3-9.6%,3-5 years,"Provides funding to micro-businesses under Shishu, Kishor, and Tarun categories for growth and expansion."
Fisheries and Aquaculture Infrastructure Development Fund (FIDF),Agriculture/Livestock,Subsidized loans,3-5 years,"Financial assistance for livestock breeding, feed production, and rural employment in livestock sector."
National Digital Literacy Mission (NDLM),Environment,Project-based grants,Ongoing,Aims to improve ecosystem services and promote afforestation efforts to increase India’s green cover.
Prime Minister’s Research Fellowship (PMRF),Rural Development,Micro-financing rates,Ongoing,Provides financial support and skill training for rural women to improve livelihood through SHGs.
Swachhta Udyami Yojana,Agriculture,Grant-based,5 years,"Supports agriculture development projects through funding for infrastructure, technology, and marketing."
Ujjwala Yojana,Entrepreneurship (SC/ST),Project-linked,5 years,Offers credit guarantee for SC entrepreneurs to support higher access to finance for business ventures.
National Urban Livelihoods Mission (NULM),Technology/Entrepreneurship,Subsidy-based,3-5 years,Provides financial support to encourage SMEs to file international patents in the electronics & IT sector.
Deen Dayal Upadhyaya Antyodaya Yojana (DAY-NULM),Urban and Rural Development,Micro-loan rates,1-5 years,Offers skills training and job opportunities for urban and rural poor to improve employment.
North East Special Infrastructure Development Scheme (NESIDS),Rural Employment,Daily wage rates,Up to 100 days/year,"Provides guaranteed employment for rural households, promoting livelihood security and public works."
Science and Technology of Yoga and Meditation (SATYAM),Biotechnology,Project-based grants,Project duration,Funding support for startups and SMEs in the biotechnology sector to encourage innovation and R&D.
Hunar Haat,Women Empowerment,Grant-based,Ongoing,Provides support for rural women empowerment through skill development and employment generation.
Pradhan Mantri Kaushal Vikas Yojana (PMKVY),Mining Sector,Grant-based,Ongoing,"Welfare scheme for areas affected by mining, focusing on infrastructure and environmental sustainability."
Rashtriya Swasthya Bima Yojana (RSBY),Education/Innovation,Grant-based,Ongoing,Provides funding to establish innovation labs in schools to foster creativity and scientific temper in students.
Pradhan Mantri Gram Sadak Yojana (PMGSY),Fisheries,3-5% subsidized,5-10 years,Provides credit to fish farmers and fishery-related industries for infrastructure development.
Solar Rooftop Programme,Digital Empowerment,Free for beneficiaries,1 year,"Aims to make at least one individual in every household digitally literate, particularly in rural areas."
Swadesh Darshan Scheme,Higher Education,Stipend-based,4 years,Provides fellowships to PhD candidates in premier institutions to promote research in science and technology.
Heritage City Development and Augmentation Yojana (HRIDAY),Sanitation/Entrepreneurship,6-8%,5 years,Supports SC/ST entrepreneurs in sanitation and waste management sectors with credit and financial assistance.
Operation Green,Social Welfare/Energy,Free LPG connection,3-5 years,Provides free LPG connections to women from BPL households to encourage clean cooking fuel usage.
Mission for Integrated Development of Horticulture (MIDH),Urban Development,Micro-financing,Ongoing,Supports skill development and self-employment programs for urban poor through micro-credit.
Mission Solar Charkha,Urban Employment,Micro-financing rates,1-3 years,Aims to reduce urban poverty by enhancing livelihoods through self-employment and skills training.
National Bamboo Mission,Infrastructure,Grant-based,Project duration,"Provides funding for special infrastructure projects in Northeast India, including healthcare and tourism."
NIDHI (National Initiative for Developing and Harnessing Innovations),Health/Research,Grant-based,1-3 years,Funding support for scientific research on the health benefits of yoga and meditation practices.
Assistance to Disabled Persons for Purchase/Fitting of Aids and Appliances (ADIP),Skill Development,Subsidy-based,Ongoing,"Provides a platform for artisans and craftsmen to showcase and market their products, especially for minorities."
National AYUSH Mission (NAM),Skill Development,Free training,Short-term,"Provides skill development training to youth, aiming to improve employability through industry-relevant skills."
Border Area Development Programme (BADP),Health Insurance,Subsidized premium,1 year (renewable),"Health insurance scheme for BPL families providing a health cover of up to ?30,000 for hospitalization."
Pradhan Mantri Adarsh Gram Yojana (PMAGY),Rural Infrastructure,Grant-based,Project duration,"Aims to provide all-weather roads to unconnected rural habitations, improving connectivity in rural areas."
Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),Renewable Energy,3-5% (subsidized),25 years,"Offers financial assistance for installing solar rooftops, encouraging green energy adoption."
Scheme for Promotion of Academic and Research Collaboration (SPARC),Rural Skill Development,Free for trainees,Project duration,"Focuses on skill development for rural youth, specifically from economically disadvantaged backgrounds."
Mahila E-haat,Tourism,Project-based grants,Project duration,Supports development of theme-based tourist circuits in India to promote tourism infrastructure.
Ganga Rejuvenation Programme,Urban Development,Grant-based,Project duration,Aims at preserving and revitalizing heritage cities through infrastructure and service improvements.
Unnat Bharat Abhiyan,Employment Generation,Subsidy on EPF contributions,Project duration,Provides EPF subsidy to employers who create new jobs and provide social security benefits to employees.
Pradhan Mantri Ujjwala Yojana (PMUY),Agriculture,Subsidized loans,Ongoing,"Supports farmers to manage the supply chain of TOP (Tomato, Onion, Potato) crops to stabilize prices."
Pradhan Mantri Yuva Yojana (PM-YUVA),Agriculture,Grant/subsidized loan,Project duration,"Financial support for the development of horticulture, including fruits, vegetables, and spices."
National Food Security Mission (NFSM),Organic Farming,Subsidized loan,3-5 years,Promotes organic farming practices and provides assistance for certification and marketing.
National Skill Development Mission (NSDM),MSME/Manufacturing,Subsidy-based,Project duration,Provides employment and skill development through solar-powered charkha (spinning wheel) clusters.
Swabhimaan (Financial Inclusion),Fisheries,Subsidized loans/grants,5-10 years,"Financial support for fisheries, fish farmers, and fishery infrastructure development."
PM SVANidhi (Street Vendor's Atmanirbhar Nidhi),Agriculture/Forestry,Subsidized loans,5 years,Promotes bamboo cultivation and supports bamboo-based industries for sustainable development.
National Child Labour Project (NCLP),Innovation,Grant-based,Project duration,Provides seed funding for startups and innovators in India to scale their ideas and products.
Sampoorna Grameen Rozgar Yojana (SGRY),Social Welfare,Subsidized/free,Project duration,Provides financial assistance for aids and appliances for disabled individuals to enhance mobility.
Rashtriya Vayoshri Yojana (RVY),Healthcare,Subsidized,Ongoing,"Aims to promote AYUSH (Ayurveda, Yoga, Unani, Siddha, and Homeopathy) healthcare systems across India."
PM POSHAN (formerly Mid-Day Meal Scheme),Infrastructure,Grant-based,Project duration,Develops infrastructure in border areas to support socio-economic growth and strengthen border security.
Stand Up India Scheme,Rural Development,Grant-based,Ongoing,"Aims to develop model villages with basic facilities, including health, education, and sanitation."
National Apprenticeship Promotion Scheme (NAPS),Mining Sector Development,Grant-based,Project duration,"Improves welfare in areas affected by mining, focusing on infrastructure, education, and healthcare."
Prime Minister’s Employment Generation Programme (PMEGP),Health Insurance,Subsidized/free,1 year (renewable),Provides free health insurance cover up to ?5 lakh per family per year for secondary and tertiary care.
Pradhan Mantri Jan Aushadhi Yojana,Education,Grant-based,Project duration,Supports international research collaborations and strengthens academic partnerships globally.
Venture Capital Assistance Scheme,Higher Education,Grant-based,Project duration,Supports quality improvement in higher education institutions through funding for infrastructure and teaching.
Mudra Yojana (Micro Units Development and Refinance Agency),Women Entrepreneurship,Free platform,Ongoing,"Online platform for women entrepreneurs to market their products, promoting economic empowerment."
Pradhan Mantri Awas Yojana (Urban and Rural),Environment,Project-based grants,Project duration,"Aims to rejuvenate and restore the river Ganga through infrastructure, waste treatment, and awareness."
Mission Indradhanush,Rural Development,Project-based,Ongoing,Connects higher education institutions with villages to address rural problems with scientific solutions.
Atal Bhujal Yojana (ATAL JAL),Social Welfare,Free/subsidized LPG,3 years,Provides LPG connections to BPL families to reduce indoor pollution and encourage cleaner cooking fuel.
Rashtriya Gokul Mission,Agriculture/Water Management,Subsidy-based,Ongoing,Aims to provide water to every farm by improving irrigation infrastructure and water use efficiency.
Swachh Bharat Mission (Urban and Rural),Skill Development,Free training,1-3 years,Offers entrepreneurship education and training to foster self-employment among youth.
National Rural Drinking Water Programme (NRDWP),Agriculture,Subsidy-based,Seasonal,"Supports increasing food grain production through various initiatives, including technology and research."
PM-CARES for Children,Skill Development,Subsidy-based,Project duration,Aims to improve skill development infrastructure to meet the demand for a skilled workforce in India.
Pradhan Mantri Kisan Maandhan Yojana (PM-KMY),Financial Inclusion,0% (no interest),Ongoing,"Focuses on bringing banking services to rural areas without bank branches, promoting financial inclusion."
Shyama Prasad Mukherji Rurban Mission,Micro-enterprise,7%,1 year (renewable),Provides working capital loans to street vendors to help them revive their businesses post-COVID-19.
Pradhan Mantri Garib Kalyan Yojana (PMGKY),Child Welfare,Grant-based,Project duration,Aims to rehabilitate child laborers through education and vocational training programs.
National Handicrafts Development Programme (NHDP),Rural Employment,Wage-based,100 days/year,Provides employment and food security in rural areas through wage employment for the unemployed poor.
Mahatma Gandhi National Fellowship (MGNF),Social Welfare for Senior Citizens,Free for eligible individuals,Project duration,Provides physical aids and assistive devices to senior citizens from BPL families.
Pradhan Mantri Gram Parivahan Yojana,Education/Child Welfare,Free meals,School duration,Provides nutritious meals to school children to improve health and school attendance rates.
Ujjwala 2.0 (PMUY Expansion),Entrepreneurship,8-10%,7 years,Provides loans to SC/ST and women entrepreneurs for setting up greenfield projects.
Pradhan Mantri Kaushal Kendra (PMKK),Skill Development,Grant-based,1-2 years,"Provides financial support to industries to engage apprentices, improving workforce skills."
Pradhan Mantri Krishi Sampada Yojana,MSME,Subsidized,3-5 years,Financial assistance to set up new micro-enterprises in rural and urban areas.
Jal Jeevan Mission,Healthcare,Subsidized medicines,Ongoing,Provides affordable generic medicines through Jan Aushadhi stores across India.
Integrated Child Development Services (ICDS),Agriculture,Subsidized premium,1 cropping season,Crop insurance scheme to protect farmers against crop loss due to natural calamities.
Mahila Samriddhi Yojana,Agriculture/Agri-business,Grant-based,Project duration,"Financial support for agribusiness projects, promoting entrepreneurship in agriculture."
Pradhan Mantri Swasthya Suraksha Yojana (PMSSY),Accident Insurance,?12 per annum,1 year,Provides accident insurance with cover up to ?2 lakh at a minimal premium.
Sampoorna Bima Gram Yojana,Life Insurance,?330 per annum,1 year,Life insurance scheme offering cover of ?2 lakh in case of death of the insured.
Pradhan Mantri Van Dhan Yojana,MSME,8-12%,3-5 years,Provides loans to micro and small enterprises for business growth without collateral.
Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM),Digital Transformation,Grant-based,Project duration,"Aims to improve digital infrastructure, provide governance through digital services, and boost digital literacy."
Pradhan Mantri Aatmanirbhar Bharat Abhiyaan,Housing,Subsidized interest,15-20 years,Affordable housing scheme for urban and rural poor with interest subsidy on home loans.
PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi),Social Security,Fixed contributions,Till age 60,"Pension scheme for unorganized sector workers, offering pension post-retirement based on contributions."
BharatNet Project,Health,Free vaccinations,Project duration,Universal immunization program providing free vaccines to children and pregnant women.
